"LANDING_YEAR","LANDING_MONTH","TAC_mt","TAC_N","TAC_S","Alloc_lat","QuotaAllocated","QuotaAllocationNumber","TAC_mt_accum"
2007,4,53397,0,100,49,0,"16",35530.9640432429
2007,5,53397,0,100,49,0,"16",32046.9396436384
2007,6,53397,0,100,49,0,"16",28688.1353145782
2007,7,61025,0,100,49,1,"17",61025
2007,8,61025,0,100,49,0,"17",49928.8469540878
2007,9,38141,0,100,49,1,"18",38141
2007,10,38141,0,100,49,0,"18",13515.6035682062
2007,11,38141,0,100,49,0,"18",2965.4015567617
2007,12,38141,0,100,49,0,"18",0
2008,1,26550,0,100,49,1,"19",26550
2008,2,26550,0,100,49,0,"19",24227.0237438642
2008,3,26550,0,100,49,0,"19",20262.1873493251
2008,4,26550,0,100,49,0,"19",12032.0812824646
2008,5,26550,0,100,49,0,"19",5088.83083173664
2008,6,26550,0,100,49,0,"19",0
2008,7,34568,0,100,49,1,"20",34568
2008,8,34568,0,100,49,0,"20",4701.33465661349
2008,9,19066,0,100,49,1,"21",19066
2008,10,19066,0,100,49,0,"21",2586.70378376141
2008,11,19066,0,100,49,0,"21",2579.28255898962
2008,12,19066,0,100,49,0,"21",2527.87149254596
2009,1,22006,0,100,49,1,"22",22006
2009,2,22006,0,100,49,0,"22",6372.15514722425
2009,3,22006,0,100,49,0,"22",1745.74520863803
2009,4,22006,0,100,49,0,"22",1719.5098795276
2009,5,22006,0,100,49,0,"22",1712.22745402114
2009,6,22006,0,100,49,0,"22",1710.58817119458
2009,7,25293,0,100,49,1,"23",25293
2009,8,25293,0,100,49,0,"23",811.587394336013
2009,9,11933,0,100,49,1,"24",11933
2009,10,11933,0,100,49,0,"24",0
2009,11,11933,0,100,49,0,"24",0
2009,12,11933,0,100,49,0,"24",0
2010,1,22463,0,100,49,1,"25",22463
2010,2,22463,0,100,49,0,"25",20392.6255247531
2010,3,22463,0,100,49,0,"25",15235.8350623564
2010,4,22463,0,100,49,0,"25",9876.29919766495
2010,5,22463,0,100,49,0,"25",5707.9272882812
2010,6,22463,0,100,49,0,"25",2095.93622561126
2010,7,25861,0,100,49,1,"26",25861
2010,8,25861,0,100,49,0,"26",0
2010,9,11760,0,100,49,1,"27",11760
2010,10,11760,0,100,49,0,"27",1939.46459244803
2010,11,11760,0,100,49,0,"27",1864.06892223577
2010,12,11760,0,100,49,0,"27",1762.18118963145
2011,1,15214,0,100,49,1,"28",15214
2011,2,15214,0,100,49,0,"28",2528.63618929938
2011,3,15214,0,100,49,0,"28",335.278035331061
2011,4,15214,0,100,49,0,"28",28.352036358956
2011,5,15214,0,100,49,0,"28",28.3497683971036
2011,6,15214,0,100,49,0,"28",0
2011,7,17530,0,100,49,1,"29",17530
2011,8,17530,0,100,49,0,"29",0
2011,9,8582,0,100,49,1,"30",8582
2011,10,8582,0,100,49,0,"30",764.034764752617
2011,11,8582,0,100,49,0,"30",744.743667213212
2011,12,8582,0,100,49,0,"30",732.801432854752
2012,1,33093,0,100,49,1,"31",33093
2012,2,33093,0,100,49,0,"31",24486.3251759886
2012,3,33093,0,100,49,0,"31",22819.6630467576
2012,4,33093,0,100,49,0,"31",22596.7419011876
2012,5,33093,0,100,49,0,"31",21881.168639039
2012,6,33093,0,100,49,0,"31",19401.5238461356
2012,7,37964,0,100,49,1,"32",37964
2012,8,37964,0,100,49,0,"32",5754.63937936007
2012,9,23352,0,100,49,1,"33",23352
2012,10,23352,0,100,49,0,"33",9322.52451543839
2012,11,23352,0,100,49,0,"33",1721.69803022343
2012,12,23352,0,100,49,0,"33",840.82799723792
2013,1,19123,0,100,49,1,"34",19123
2013,2,19123,0,100,49,0,"34",18996.0703398117
2013,3,19123,0,100,49,0,"34",18995.4897415776
2013,4,19123,0,100,49,0,"34",18970.1461750674
2013,5,19123,0,100,49,0,"34",18269.1958237551
2013,6,19123,0,100,49,0,"34",16693.1274443061
2013,7,22998,0,100,49,1,"35",22998
2013,8,22998,0,100,49,0,"35",0
2013,9,13374,0,100,49,1,"36",13374
2013,10,13374,0,100,49,0,"36",5288.47151168212
2013,11,13374,0,100,49,0,"36",0
2013,12,13374,0,100,49,0,"36",0
2014,1,5446,0,100,49,1,"37",5446
2014,2,5446,0,100,49,0,"37",4620.50769873712
2014,3,5446,0,100,49,0,"37",3333.26879705153
2014,4,5446,0,100,49,0,"37",2482.63704584506
2014,5,5446,0,100,49,0,"37",412.843350269172
2014,6,5446,0,100,49,0,"37",0
2014,7,7718,0,100,49,1,"38",7718
2014,8,7718,0,100,49,0,"38",584.079274828453
2014,9,4823,0,100,49,1,"39",4823
2014,10,4823,0,100,49,0,"39",0
2014,11,4823,0,100,49,0,"39",0
2014,12,4823,0,100,49,0,"39",0
2015,1,6752,0,100,49,1,"40",6752
2015,2,6752,0,100,49,0,"40",6370.68893461685
2015,3,6752,0,100,49,0,"40",6147.99685319386
2015,4,6752,0,100,49,0,"40",5084.94688775352
2015,5,6752,0,100,49,0,"40",3128.50184320435
2015,6,6752,0,100,49,0,"40",3022.70686592157
2015,7,0,0,100,49,1,"41",0
2015,8,0,0,100,49,0,"41",0
2015,9,0,0,100,49,1,"42",0
2015,10,0,0,100,49,0,"42",0
2015,11,0,0,100,49,0,"42",0
2015,12,0,0,100,49,0,"42",0
2016,1,0,0,100,49,1,"43",0
2016,2,0,0,100,49,0,"43",0
2016,3,0,0,100,49,0,"43",0
2016,4,0,0,100,49,0,"43",0
2016,5,0,0,100,49,0,"43",0
2016,6,0,0,100,49,0,"43",0
2016,7,0,0,100,49,1,"44",0
2016,8,0,0,100,49,0,"44",0
2016,9,0,0,100,49,1,"45",0
2016,10,0,0,100,49,0,"45",0
2016,11,0,0,100,49,0,"45",0
2016,12,0,0,100,49,0,"45",0
2017,1,0,0,100,49,0,"45",0
2017,2,0,0,100,49,0,"45",0
2017,3,0,0,100,49,0,"45",0
2017,4,0,0,100,49,0,"45",0
2017,5,0,0,100,49,0,"45",0
2017,6,0,0,100,49,0,"45",0
2017,7,0,0,100,49,0,"45",0
2017,8,0,0,100,49,0,"45",0
2017,9,0,0,100,49,0,"45",0
2017,10,0,0,100,49,0,"45",0
2017,11,0,0,100,49,0,"45",0
2017,12,0,0,100,49,0,"45",0
2018,1,0,0,100,49,0,"45",0
2018,2,0,0,100,49,0,"45",0
2018,3,0,0,100,49,0,"45",0
2018,4,0,0,100,49,0,"45",0
2018,5,0,0,100,49,0,"45",0
2018,6,0,0,100,49,0,"45",0
2018,7,0,0,100,49,0,"45",0
2018,8,0,0,100,49,0,"45",0
2018,9,0,0,100,49,0,"45",0
2018,10,0,0,100,49,0,"45",0
2018,11,0,0,100,49,0,"45",0
2018,12,0,0,100,49,0,"45",0
2019,1,0,0,100,49,0,"45",0
2019,2,0,0,100,49,0,"45",0
2019,3,0,0,100,49,0,"45",0
2019,4,0,0,100,49,0,"45",0
2019,5,0,0,100,49,0,"45",0
2019,6,0,0,100,49,0,"45",0
2019,7,0,0,100,49,0,"45",0
2019,8,0,0,100,49,0,"45",0
2019,9,0,0,100,49,0,"45",0
2019,10,0,0,100,49,0,"45",0
2019,11,0,0,100,49,0,"45",0
2019,12,0,0,100,49,0,"45",0
